Title,Location,Price,Area
                        Apartment Willem Frederik Hermansstraat                            ,            1011 DG Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,000 per month            ",90 m²
                        Apartment Kerkstraat 113 4                            ,            1017 GD Amsterdam (Grachtengordel-Zuid)        ,"                €1,995 per month            ",58 m²
                        Apartment Runstraat 23 III                            ,            1016 GJ Amsterdam (Grachtengordel-West)        ,"                €2,000 per month            ",60 m²
                        Apartment Saenredamstraat 68 B                            ,            1072 CJ Amsterdam (Oude Pijp)        ,"                €1,850 per month            ",65 m²
                        Apartment Gustav Mahlerlaan                            ,            1082 MK Amsterdam (Zuidas)        ,"                €2,150 per month            ",65 m²
                        House Prinsengracht                            ,            1015 DP Amsterdam (Grachtengordel-West)        ,"                €1,750 per month            ",50 m²
                        Apartment Hoogoord 10                            ,"            1102 CA Amsterdam (Bijlmer Centrum (D,F,H))        ","                €3,600 per month            ",95 m²
                        Apartment Keizersgracht 680 II+III                            ,            1017 ET Amsterdam (Grachtengordel-Zuid)        ,"                €3,950 per month            ",125 m²
                        Apartment Keizersgracht                            ,            1016 EX Amsterdam (Grachtengordel-West)        ,"                €2,100 per month            ",60 m²
                        Apartment Wouwermanstraat 1 1+2                            ,            1071 LT Amsterdam (Museumkwartier)        ,"                €3,000 per month            ",140 m²
                        Apartment Sloterkade 138 D                            ,            1058 HM Amsterdam (Hoofddorppleinbuurt)        ,"                €2,600 per month            ",106 m²
                        Apartment Rooseveltlaan                            ,            1079 AM Amsterdam (Scheldebuurt)        ,"                €4,500 per month            ",121 m²
                        Apartment Da Costastraat                            ,            1053 ZD Amsterdam (Da Costabuurt)        ,"                €1,750 per month            ",46 m²
                        Studio Ferdinand Bolstraat                            ,            1072 LM Amsterdam (Oude Pijp)        ,"                €1,525 per month            ",35 m²
                        Apartment Vierwindenstraat                            ,            1013 CW Amsterdam (Haarlemmerbuurt)        ,"                €2,350 per month            ",75 m²
                        Apartment Kleine Wittenburgerstraat                            ,            1018 LZ Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,900 per month            ",60 m²
                        Apartment Maria Austriastraat                            ,            1087 JC Amsterdam (IJburg West)        ,"                €1,950 per month            ",39 m²
                        Apartment Biesboschstraat                            ,            1078 MK Amsterdam (Scheldebuurt)        ,"                €2,100 per month            ",80 m²
                        Apartment Derde Kostverlorenkade                            ,            1054 TN Amsterdam (Overtoomse Sluis)        ,"                €2,000 per month            ",60 m²
                        Apartment Geldersekade                            ,            1011 EH Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,500 per month            ",70 m²
                        Apartment Alexander Boersstraat 31 I                            ,            1071 KV Amsterdam (Museumkwartier)        ,"                €2,500 per month            ",61 m²
                        Apartment Overhaalsgang                            ,            1018 AT Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,795 per month            ",65 m²
                        Apartment Nieuwe Achtergracht                            ,            1018 XV Amsterdam (Weesperbuurt/Plantage)        ,"                €2,100 per month            ",61 m²
                        Apartment Maasstraat                            ,            1078 HM Amsterdam (Scheldebuurt)        ,"                €2,250 per month            ",100 m²
                        Apartment Koninginneweg                            ,            1075 CT Amsterdam (Willemspark)        ,"                €4,000 per month            ",147 m²
                        Apartment Celebesstraat                            ,            1094 GB Amsterdam (Indische Buurt West)        ,"                €2,150 per month            ",75 m²
                        Apartment Westlandgracht                            ,            1059 TL Amsterdam (Hoofddorppleinbuurt)        ,"                €2,750 per month            ",110 m²
                        Apartment Van Nijenrodeweg 239                            ,            1082 GW Amsterdam (Buitenveldert-West)        ,"                €2,100 per month            ",87 m²
                        Apartment Maria Austriastraat                            ,            1087 JC Amsterdam (IJburg West)        ,"                €1,750 per month            ",44 m²
                        Apartment Nachtwachtlaan 100 PP                            ,            1058 EC Amsterdam (Overtoomse Veld)        ,"                €2,500 per month            ",103 m²
